"","Box","X1","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Box.1","X2","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","Box.2","X3","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25"
"1","262",366,440,412,413,420,229,423,432,NA,"392",4,4,10,10,48,49,52,55,NA,"258",249,374,296,283,289,279,"267",298,NA,NA,NA
"2","439",451,452,452,462,463,229,466,467,NA,"55",82,65,40,75,80,23,23,118,NA,"291",255,250,257,291,291,253,"278",253,NA,NA,NA
"3","467",480,480,483,484,486,493,493,499,NA,"112",124,157,97,162,224,116,128,150,NA,"283",300,309,310,311,311,313,"316",317,NA,NA,NA
"4","502",520,432,440,345,439,451,452,452,NA,"152",153,153,156,142,142,160,160,163,NA,"318",318,319,323,253,292,319,"n2 males",324,NA,NA,NA
"5","459",462,462,466,467,467,480,483,484,NA,"164",164,149,180,181,181,181,183,183,NA,"374",362,383,342,334,334,337,"366",337,NA,NA,NA
"6","486",493,494,480,499,502,508,520,313,NA,"207",183,243,238,222,227,185,197,198,NA,"337",344,338,337,399,390,390,"390",337,NA,NA,NA
"7","314",314,479,482,497,345,530,157,392,NA,"208",197,221,189,190,194,195,197,200,NA,"395",331,337,330,337,402,NA,"397",403,NA,NA,NA
"8","253",4,8,293,312,313,314,314,405,NA,"201",217,217,209,222,218,217,237,243,NA,"379",402,375,403,4,4,10,"23",23,NA,NA,NA
"9","453",479,482,495,345,530,128,157,264,NA,"211",246,279,278,285,244,244,245,287,NA,"40",65,55,55,82,97,17,"181",160,NA,NA,NA
"10","Box",4,NA,NA,NA,NA,NA,NA,NA,NA,"Box",5,NA,NA,NA,NA,NA,NA,NA,NA,"Box",6,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"11","124",112,116,118,124,128,140,142,142,NA,"334",337,337,337,337,337,337,342,318,NA,"246",249,250,253,253,253,255,"257",258,NA,NA,NA
"12","153",153,154,156,157,163,164,180,181,NA,"344",497,352,366,375,NA,379,383,390,NA,"264",556,279,279,283,285,287,"291",291,NA,NA,NA
"13","181",183,183,183,183,183,185,189,190,NA,"390",390,392,399,402,402,403,403,410,NA,"296",298,300,317,318,318,319,"321",323,NA,NA,NA
"14","194",197,197,197,198,NA,201,208,209,NA,"410",412,419,420,420,423,4,4,10,NA,"324",325,403,403,330,334,334,"337",337,NA,NA,NA
"15","211",215,217,NA,221,222,222,227,237,NA,"17",23,23,55,55,75,82,97,118,NA,"337",337,337,337,556,340,344,"352",366,NA,NA,NA
"16","238",238,243,243,245,246,249,250,459,NA,"124",140,142,142,148,150,152,154,156,NA,"375",379,383,390,390,390,397,"399",400,NA,NA,NA
"17","253",253,257,258,267,278,279,279,283,NA,"157",160,160,164,180,181,181,183,183,NA,"402",402,410,410,412,419,420,"423",423,NA,NA,NA
"18","283",285,287,281,291,296,298,300,309,NA,"183",183,185,189,190,195,200,201,208,NA,"439",451,452,453,462,462,466,"467",467,NA,NA,NA
"19","310",316,317,318,321,323,324,330,334,NA,"215",218,222,227,237,243,243,244,245,NA,"480",480,483,484,486,493,508,"",499,NA,NA,NA
"20","Box",7,NA,NA,NA,NA,NA,NA,NA,NA,"Box",8,NA,NA,NA,NA,NA,NA,NA,NA,"Box",9,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"21","520",556,591,591,591,614,614,614,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"22","Box",10,NA,NA,NA,NA,NA,NA,NA,NA,"Box",11,NA,NA,NA,NA,NA,NA,NA,NA,"Box",12,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"23","Box",13,NA,NA,NA,NA,NA,NA,NA,NA,"Box",14,NA,NA,NA,NA,NA,NA,NA,NA,"Box",15,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
