"","PMnumber","Strain","Box","Position","TubeII","TubeIII","TubeIV","duplicates","beingFrozen"
"1",1,"wPM001",1,1,"Y","Y","Y","",""
"2",2,"wPM002",1,2,"Y","Y","Y","",""
"3",3,"wPM003",1,3,"Y","Y","Y","",""
"4",4,"wPM004",1,4,"Y","Y","Y","yes",""
"5",5,"wPM005",1,5,"Y","Y","Y","",""
"6",6,"wPM006",1,6,"Y","Y","Y","",""
"7",7,"wPM007",1,7,"Y","Y","Y","",""
"8",8,"wPM008",1,8,"Y","","Y","yes",""
"9",9,"wPM009",1,9,"Y","Y","Y","",""
"10",10,"wPM010",1,10,"Y","Y","Y","yes",""
"11",11,"wPM011",1,11,"Y","Y","Y","",""
"12",12,"wPM012",1,12,"Y","Y","Y","",""
"13",13,"wPM013",1,13,"Y","Y","Y","",""
"14",14,"wPM014",1,14,"Y","Y","Y","",""
"15",15,"wPM015",1,15,"Y","Y","","",""
"16",16,"wPM016",1,16,"Y","Y","Y","",""
"17",17,"wPM017",1,17,"Y","Y","Y","yes",""
"18",18,"wPM018",1,18,"Y","Y","Y","",""
"19",19,"wPM019",1,19,"Y","Y","Y","",""
"20",20,"wPM020",1,20,"Y","Y","Y","",""
"21",21,"wPM021",1,21,"Y","Y","Y","",""
"22",22,"wPM022",1,22,"Y","Y","Y","",""
"23",23,"wPM023",1,23,"Y","Y","Y","yes",""
"24",24,"wPM024",1,24,"Y","Y","Y","",""
"25",25,"wPM025",1,25,"Y","Y","Y","",""
"26",26,"wPM026",1,26,"Y","Y","Y","",""
"27",27,"wPM027",1,27,"Y","Y","Y","",""
"28",28,"wPM028",1,28,"","","","",""
"29",29,"wPM029",1,29,"Y","Y","Y","",""
"30",30,"wPM030",1,30,"Y","Y","Y","",""
"31",31,"wPM031",1,31,"Y","Y","Y","",""
"32",32,"wPM032",1,32,"Y","Y","Y","",""
"33",33,"wPM033",1,33,"Y","Y","Y","",""
"34",34,"wPM034",1,34,"Y","Y","Y","",""
"35",35,"wPM035",1,35,"Y","Y","Y","",""
"36",36,"wPM036",1,36,"Y","Y","Y","",""
"37",37,"wPM037",1,37,"Y","Y","Y","",""
"38",38,"wPM038",1,38,"Y","Y","Y","",""
"39",39,"wPM039",1,39,"Y","Y","Y","",""
"40",40,"wPM040",1,40,"Y","Y","Y","yes",""
"41",41,"wPM041",1,41,"Y","Y","Y","",""
"42",42,"wPM042",1,42,"Y","Y","Y","",""
"43",43,"wPM043",1,43,"Y","Y","Y","",""
"44",44,"wPM044",1,44,"Y","Y","Y","",""
"45",45,"wPM045",1,45,"Y","Y","Y","",""
"46",46,"wPM046",1,46,"Y","Y","Y","",""
"47",47,"wPM047",1,47,"Y","Y","Y","",""
"48",48,"wPM048",1,48,"Y","Y","Y","yes",""
"49",49,"wPM049",1,49,"Y","Y","Y","yes",""
